calculated steering, timestamp, original steering
-0.145444,1584543156.226583,-0
-0.029089,1584543156.324612,-0
-0.029089,1584543153.026567,-0
0.029089,1584543153.527171,-0
0.029089,1584543153.627059,-0
0.029089,1584543153.726937,-0
0.029089,1584543153.824849,-0
0.029089,1584543153.924685,-0
0.029089,1584543154.024633,0.0150029
0.029089,1584543154.125140,0.0749791
-0.203622,1584543154.226883,0.0749791
-0.203622,1584543154.324615,0.0659773
-0.203622,1584543154.427245,0.0659773
-0.203622,1584543154.524661,0.0629856
-0.203622,1584543154.625490,0.0659773
-0.203622,1584543154.726542,0.0659773
-0.203622,1584543154.824699,0.0659773
-0.203622,1584543154.924791,0.0659773
0.000000,1584543155.024622,0.0659773
0.000000,1584543155.124660,0.0659773
0.000000,1584543155.230154,0.0659773
0.000000,1584543155.324559,0.0659773
-0.029089,1584543155.424526,0.0239958
-0.203622,1584543155.524320,-0
-0.203622,1584543155.625483,-0
-0.203622,1584543155.726937,-0
-0.203622,1584543155.824256,-0
-0.203622,1584543155.924467,-0
-0.116355,1584543156.027088,-0
-0.116355,1584543156.124496,-0
-0.145444,1584543156.226583,-0
-0.029089,1584543156.324612,-0
-0.029089,1584543156.425245,-0
-0.058178,1584543156.524355,-0
-0.058178,1584543156.624896,-0
-0.087266,1584543156.726057,-0
-0.087266,1584543156.827240,-0
-0.087266,1584543156.924110,-0
-0.087266,1584543157.024046,-0
-0.116355,1584543157.124190,-0
-0.145444,1584543157.225964,-0
-0.174533,1584543157.323968,-0
-0.058178,1584543157.424131,-0
-0.290888,1584543157.523936,-0
-0.203622,1584543157.624792,-0
-0.203622,1584543157.726186,-0
-0.232710,1584543157.823950,-0
-0.261799,1584543157.923955,-0
-0.290888,1584543158.024150,-0
-0.290888,1584543158.123962,-0.0329798
-0.290888,1584543158.225965,-0.0809625
-0.290888,1584543158.324029,-0.0809625
-0.290888,1584543158.423960,-0.0809625
-0.261799,1584543158.523887,-0.0809625
-0.203622,1584543158.625049,-0.0809625
-0.290888,1584543158.725863,-0.0809625
-0.261799,1584543158.823937,-0.0809625
-0.232710,1584543158.923935,-0.0809625
-0.203622,1584543159.023732,-0.0809625
-0.290888,1584543159.123900,-0.0809625
-0.261799,1584543159.226086,-0.0809625
-0.232710,1584543159.323608,-0.0779708
-0.203622,1584543159.424094,-0.0809625
-0.145444,1584543159.523941,-0.0809625
-0.290888,1584543159.624597,-0.0899643
-0.290888,1584543159.725498,-0.0899643
-0.261799,1584543159.823916,-0.0929649
-0.232710,1584543159.923893,-0.0989571
-0.174533,1584543160.023702,-0.0989571
-0.116355,1584543160.123880,-0.113951
-0.116355,1584543160.225528,-0.152941
-0.116355,1584543160.323703,-0.155942
-0.261799,1584543160.426724,-0.167935
-0.203622,1584543160.523644,-0.218918
-0.203622,1584543160.624063,-0.248906
-0.203622,1584543160.726031,-0.245906
-0.203622,1584543160.823369,-0.215918
-0.290888,1584543160.923305,-0.179929
-0.290888,1584543161.023901,-0.182929
-0.290888,1584543161.123679,-0.170936
-0.290888,1584543161.230099,-0.0929649
-0.174533,1584543161.324087,-0
-0.087266,1584543161.423220,-0
-0.087266,1584543161.523282,-0
0.000000,1584543161.624367,0.0749791
-0.087266,1584543161.725378,0.0599851
-0.087266,1584543161.823435,-0
-0.145444,1584543161.923272,-0
0.000000,1584543162.023121,-0
-0.029089,1584543162.123252,-0
-0.058178,1584543162.225450,-0
-0.058178,1584543162.323322,-0
-0.087266,1584543162.423001,-0
-0.116355,1584543162.523582,-0
-0.145444,1584543162.623600,-0
-0.203622,1584543162.725145,-0
-0.029089,1584543162.823317,-0
-0.029089,1584543162.922881,-0
-0.029089,1584543163.022852,-0
-0.058178,1584543163.123027,-0
-0.029089,1584543163.225186,-0
-0.145444,1584543163.322807,-0
-0.058178,1584543163.422946,-0
-0.058178,1584543163.522727,-0
-0.058178,1584543163.623407,-0
-0.058178,1584543163.725035,-0
-0.087266,1584543163.822699,-0
-0.145444,1584543163.922666,-0
-0.174533,1584543164.022820,-0
-0.174533,1584543164.125310,-0
-0.232710,1584543164.230181,-0
-0.087266,1584543164.323081,-0
-0.087266,1584543164.422577,-0
-0.116355,1584543164.522551,-0
-0.145444,1584543164.623376,-0
-0.174533,1584543164.724669,-0.00899288
-0.174533,1584543164.822515,-0.0329798
-0.174533,1584543164.922664,-0
-0.058178,1584543165.022455,-0
0.000000,1584543165.122525,-0
-0.116355,1584543165.224889,-0
-0.087266,1584543165.322466,-0
-0.087266,1584543165.422395,-0
-0.058178,1584543165.522665,-0
-0.058178,1584543165.623109,-0
-0.029089,1584543165.728985,-0
-0.058178,1584543165.822549,-0
-0.087266,1584543165.922304,-0
-0.087266,1584543166.022267,-0
-0.087266,1584543166.122506,-0
-0.087266,1584543166.224484,-0
-0.087266,1584543166.322485,-0
-0.087266,1584543166.422565,-0
-0.145444,1584543166.525138,-0
-0.174533,1584543166.626262,-0
-0.145444,1584543166.725755,-0.0239869
-0.145444,1584543166.822204,-0
-0.145444,1584543166.922442,-0
-0.145444,1584543167.022669,-0
-0.145444,1584543167.122301,-0
-0.261799,1584543167.224209,-0
-0.232710,1584543167.322854,-0
-0.232710,1584543167.422067,-0
-0.232710,1584543167.522071,-0.00299171
-0.232710,1584543167.622945,-0.137947
-0.203622,1584543167.725298,-0.131946
-0.174533,1584543167.822154,-0.131946
-0.290888,1584543167.922114,-0.131946
-0.232710,1584543168.021936,-0.131946
-0.203622,1584543168.124766,-0.122953
-0.116355,1584543168.224773,-0.122953
-0.290888,1584543168.321937,-0.122953
-0.261799,1584543168.422194,-0.122953
-0.203622,1584543168.522063,-0.122953
-0.145444,1584543168.622776,-0.122953
-0.290888,1584543168.724343,-0.122953
-0.232710,1584543168.822071,-0.14994
-0.174533,1584543168.922030,-0.200924
-0.116355,1584543169.021928,-0.209925
-0.116355,1584543169.122362,-0.200924
-0.290888,1584543169.224065,-0
-0.232710,1584543169.321904,-0
-0.174533,1584543169.422125,-0
-0.145444,1584543169.521871,-0
-0.290888,1584543169.625544,-0
-0.290888,1584543169.724795,-0.125954
-0.232710,1584543169.821630,-0.125954
-0.232710,1584543169.921651,-0
-0.203622,1584543170.021694,-0
-0.203622,1584543170.121665,-0
-0.174533,1584543170.223659,-0
-0.203622,1584543170.321820,-0
-0.203622,1584543170.424400,-0
-0.174533,1584543170.524693,-0.0989571
-0.203622,1584543170.622671,-0.0839631
-0.145444,1584543170.723513,-0
-0.145444,1584543170.821443,-0
-0.116355,1584543170.921629,-0
-0.116355,1584543171.021362,-0
-0.087266,1584543171.121331,-0
-0.116355,1584543171.223556,-0
-0.087266,1584543171.321311,-0
-0.058178,1584543171.421385,-0
-0.058178,1584543171.521948,-0
0.087266,1584543171.622053,-0
-0.029089,1584543171.723503,-0.00899288
0.000000,1584543171.821523,-0
0.000000,1584543171.921462,-0
-0.029089,1584543172.021257,-0
-0.058178,1584543172.121341,-0
-0.058178,1584543172.223223,-0
-0.029089,1584543172.321124,-0
0.029089,1584543172.421305,-0
0.058178,1584543172.521101,-0
0.087266,1584543172.621673,-0
0.029089,1584543172.723294,-0
0.029089,1584543172.821063,-0
0.029089,1584543172.920946,-0
0.087266,1584543173.021183,-0
0.116355,1584543173.120899,0.161943
0.145444,1584543173.223060,0.188939
-0.116355,1584543173.321119,-0
-0.116355,1584543173.420890,-0
-0.174533,1584543173.524239,-0
-0.232710,1584543173.621860,-0
-0.290888,1584543173.723554,-0
-0.290888,1584543173.820762,-0.104958
-0.290888,1584543173.921092,-0
-0.261799,1584543174.020807,-0
-0.232710,1584543174.120779,-0.125954
-0.203622,1584543174.222990,-0.122953
-0.174533,1584543174.323784,-0.116952
-0.290888,1584543174.420641,-0.0989571
-0.261799,1584543174.520794,-0.0779708
-0.232710,1584543174.621714,-0.0779708
-0.174533,1584543174.722903,-0.0779708
-0.290888,1584543174.820805,-0.0779708
-0.261799,1584543174.920746,-0.0779708
-0.232710,1584543175.021081,-0.0779708
-0.174533,1584543175.123766,-0.014994
-0.290888,1584543175.223100,-0
-0.261799,1584543175.320656,-0
-0.232710,1584543175.420814,-0
-0.232710,1584543175.520444,-0.116952
-0.203622,1584543175.621161,-0.0689691
-0.145444,1584543175.722754,-0
-0.145444,1584543175.820398,-0
-0.145444,1584543175.920619,-0
-0.145444,1584543176.020691,-0.0119935
-0.290888,1584543176.120545,-0.0119935
-0.290888,1584543176.222857,-0.122953
-0.290888,1584543176.320527,-0.140948
-0.290888,1584543176.420267,-0.0599762
-0.290888,1584543176.520465,-0.116952
-0.290888,1584543176.624285,-0.287896
-0.290888,1584543176.722994,-0.290888
-0.290888,1584543176.820412,-0.290888
-0.290888,1584543176.920366,-0.290888
-0.290888,1584543177.020677,-0.290888
-0.290888,1584543177.120259,-0.251907
-0.290888,1584543177.222172,-0.00299171
-0.232710,1584543177.320166,-0
-0.290888,1584543177.423233,-0.158942
-0.261799,1584543177.520823,-0.0899643
-0.232710,1584543177.620773,-0
-0.174533,1584543177.721941,-0
-0.290888,1584543177.820558,-0.116952
-0.290888,1584543177.919971,-0.113951
-0.290888,1584543178.019932,-0
-0.232710,1584543178.120339,-0.0209863
-0.203622,1584543178.225735,-0.278895
-0.174533,1584543178.320288,-0.254908
-0.290888,1584543178.420260,-0
-0.290888,1584543178.520023,-0
-0.290888,1584543178.620489,-0
-0.290888,1584543178.721862,-0
-0.290888,1584543178.820087,-0
-0.290888,1584543178.920692,-0
-0.290888,1584543179.019919,-0.0599762
-0.290888,1584543179.119704,-0
-0.290888,1584543179.221614,-0
-0.261799,1584543179.319866,-0
-0.261799,1584543179.419918,-0
-0.232710,1584543179.519623,-0
-0.261799,1584543179.620471,-0.0299881
-0.261799,1584543179.725058,-0.0359804
-0.261799,1584543179.822411,-0.0179858
-0.261799,1584543179.920320,-0
-0.232710,1584543180.019792,-0
-0.232710,1584543180.119522,-0
-0.232710,1584543180.221619,-0
0.000000,1584543180.319490,-0
-0.203622,1584543180.419464,-0
-0.203622,1584543180.519659,-0
0.029089,1584543180.620095,-0
0.000000,1584543180.721331,-0
0.000000,1584543180.819596,-0
-0.116355,1584543180.919368,-0
0.145444,1584543181.019437,0.00300058
0.058178,1584543181.119583,0.0749791
0.087266,1584543181.221242,0.098966
0.087266,1584543181.319523,0.0809714
0.203622,1584543181.419468,0.0629856
0.000000,1584543181.519362,0.0599851
0.116355,1584543181.620046,0.0509833
0.116355,1584543181.721338,0.0239958
0.087266,1584543181.819233,0.0120023
0.116355,1584543181.919488,0.0120023
0.145444,1584543182.019537,0.00900175
0.145444,1584543182.119273,-0
0.145444,1584543182.221073,-0
0.145444,1584543182.319520,-0
0.145444,1584543182.419368,-0
0.087266,1584543182.519086,-0
0.087266,1584543182.619932,-0
0.029089,1584543182.720857,-0
0.058178,1584543182.819054,-0
0.087266,1584543182.919198,-0
0.087266,1584543183.019088,-0
0.087266,1584543183.119045,0.00300058
0.087266,1584543183.221416,0.0479916
0.058178,1584543183.319207,0.0599851
0.000000,1584543183.419179,0.0599851
0.145444,1584543183.519505,0.0719785
0.116355,1584543183.619719,0.0749791
0.000000,1584543183.722047,0.0749791
-0.029089,1584543183.819310,0.0749791
-0.116355,1584543183.919395,0.0719785
-0.145444,1584543184.019122,0.0629856
-0.116355,1584543184.119065,0.0599851
-0.203622,1584543184.220832,-0
-0.232710,1584543184.319157,-0.0269875
-0.261799,1584543184.418936,-0.173936
-0.261799,1584543184.518724,-0.173936
-0.232710,1584543184.619549,-0.200924
-0.174533,1584543184.720568,-0.290888
-0.174533,1584543184.819010,-0.290888
-0.290888,1584543184.922048,-0.290888
-0.203622,1584543185.019029,-0.290888
-0.145444,1584543185.118610,-0.290888
-0.290888,1584543185.220245,-0.290888
